seed,count,avg_overall,accept_rate,avg_verse_score
smoldering punchlines cooling on alloy workbenches,2,2.75,0.0,0.24754616220792136
metal fingers calibrating fractured loops in the furnace,3,2.6666666666666665,0.6666666666666666,0.43691324881381455
operation doomsday broadcast from the shadows,5,2.6,0.4,0.34519777093614856
villain with the mask plotting on the next move,8,2.5,0.375,0.5210668798225622
rusted synth wires tangled in a notebook of ciphers,3,2.5,0.6666666666666666,0.3874391675823265
vectors of rhyme spiraling from a dented steel mask,2,2.5,1.0,0.5180114840733863
forgotten mixtapes whispering secrets to the villain,3,2.5,0.3333333333333333,0.36614768852790197
adversarial metrics plotted across stained graph paper,3,2.5,0.6666666666666666,0.5125447712424728
comic book margins filled with cryptic alchemical notes,1,2.5,1.0,0.6100203084448973
ultrasonic murmurs guiding the villain’s next scheme,2,2.5,1.0,0.5544693667441607
cadence residue etched into rusted metal schematics,1,2.5,1.0,0.4908523055414359
gravity-warped flows aligning under flickering bulbs,2,2.5,1.0,0.38483796007931237
ciphered monologues drifting through corroded vents,1,2.5,1.0,0.706110401948293
magnetized fragments of flow swirling in vortex rings,1,2.5,0.0,0.22103117472891295
villain’s ledger coated in graphite and burnt ozone,3,2.5,1.0,0.44920870500306287
indestructible rhyme armor forged beside leaking amps,1,2.5,1.0,0.4160765071532556
shadow engineer welding stanzas into steel plates,1,2.5,1.0,0.3660294011235237
covert mechanisms plotting syncopated sabotage,2,2.5,0.5,0.426127016579821
lab rats scurrying past reels soaked in bass residue,2,2.5,1.0,0.44925200355549655
villain’s profile flickering across a cracked CRT screen,1,2.5,1.0,0.46461981857816376
villain with the mask drafting countermeasures in code,1,2.5,0.0,0.2789090050073961
masked technician measuring syllables like reagents,1,2.5,1.0,0.4562247196833293
metal face alchemist mixing rhymes in the lab,2,2.5,1.0,0.5792539323369661
krylon mist settling over half-finished rhyme diagrams,1,2.5,1.0,0.3860234330097834
dusted comic frames stacked beside cracked tape reels,1,2.5,0.0,0.2956158046921094
oscillators trembling as the villain adjusts the gauge,1,2.5,0.0,0.3134844268539122
encrypted bars encoded in tungsten-lined chambers,1,2.5,0.0,0.3461004187663396
subterranean echoes bouncing off reinforced conduits,1,2.5,1.0,0.5078931982318561
iron gauntlets tapping tempo on fractured consoles,1,2.5,0.0,0.21736446842551232
quantum loops folding rhyme clusters into patterns,1,2.5,0.0,0.27311883425960937
forbidden lexicons scattered across the bunker floor,1,2.5,1.0,0.7388555904229482
krylon fumes and comic books on the table,6,2.5,0.8333333333333334,0.5145862592177258
microfilm vault keeps the villain manifestos safe,1,2.5,1.0,0.5415451807280381
